age_id,age_code,age_name
1,NN,Under 24 Hours
2,NB,1-6 Days Old
3,BB,7-364 Days Old
103,00,Unknown
104,NS,Not Specified
4,01,1 Years Old
5,02,2 Years Old
6,03,3 Years Old
7,04,4 Years Old
8,05,5 Years Old
9,06,6 Years Old
10,07,7 Years Old
11,08,8 Years Old
12,09,9 Years Old
13,10,10 Years Old
14,11,11 Years Old
15,12,12 Years Old
16,13,13 Years Old
17,14,14 Years Old
18,15,15 Years Old
19,16,16 Years Old
20,17,17 Years Old
21,18,18 Years Old
22,19,19 Years Old
23,20,20 Years Old
24,21,21 Years Old
25,22,22 Years Old
26,23,23 Years Old
27,24,24 Years Old
28,25,25 Years Old
29,26,26 Years Old
30,27,27 Years Old
31,28,28 Years Old
32,29,29 Years Old
33,30,30 Years Old
34,31,31 Years Old
35,32,32 Years Old
36,33,33 Years Old
37,34,34 Years Old
38,35,35 Years Old
39,36,36 Years Old
40,37,37 Years Old
41,38,38 Years Old
42,39,39 Years Old
43,40,40 Years Old
44,41,41 Years Old
45,42,42 Years Old
46,43,43 Years Old
47,44,44 Years Old
48,45,45 Years Old
49,46,46 Years Old
50,47,47 Years Old
51,48,48 Years Old
52,49,49 Years Old
53,50,50 Years Old
54,51,51 Years Old
55,52,52 Years Old
56,53,53 Years Old
57,54,54 Years Old
58,55,55 Years Old
59,56,56 Years Old
60,57,57 Years Old
61,58,58 Years Old
62,59,59 Years Old
63,60,60 Years Old
64,61,61 Years Old
65,62,62 Years Old
66,63,63 Years Old
67,64,64 Years Old
68,65,65 Years Old
69,66,66 Years Old
70,67,67 Years Old
71,68,68 Years Old
72,69,69 Years Old
73,70,70 Years Old
74,71,71 Years Old
75,72,72 Years Old
76,73,73 Years Old
77,74,74 Years Old
78,75,75 Years Old
79,76,76 Years Old
80,77,77 Years Old
81,78,78 Years Old
82,79,79 Years Old
83,80,80 Years Old
84,81,81 Years Old
85,82,82 Years Old
86,83,83 Years Old
87,84,84 Years Old
88,85,85 Years Old
89,86,86 Years Old
90,87,87 Years Old
91,88,88 Years Old
92,89,89 Years Old
93,90,90 Years Old
94,91,91 Years Old
95,92,92 Years Old
96,93,93 Years Old
97,94,94 Years Old
98,95,95 Years Old
99,96,96 Years Old
100,97,97 Years Old
101,98,98 Years Old
102,99,Over 98 Years Old
